/an-sp 0 , /fade , 100
/samp2-seq 0 , /s16 , 124.984
/samp2-seq 0 , /transp , 0
/samp2-seq 0 , /resol , 2.55319
/samp2-seq 0 , /s12 , 0
/samp2-seq 0 , /s28 , 0
/samp2-seq 0 , /s14 , 0
/samp2-seq 0 , /s29 , 0
/samp2-seq 0 , /s30 , 108.857
/samp2-seq 0 , /s31 , 0
/samp2-seq 0 , /n28 , 13
/samp2-seq 0 , /s32 , 0
/samp2-seq 0 , /n26 , 13
/samp2-seq 0 , /n32 , 13
/samp2-seq 0 , /n30 , 13
/samp2-seq 0 , /n20 , 13
/samp2-seq 0 , /n18 , 13
/samp2-seq 0 , /s15 , 0
/samp2-seq 0 , /n24 , 13
/samp2-seq 0 , /n22 , 13
/samp2-seq 0 , /play , 0
/samp2-seq 0 , /s2 , 0
/samp2-seq 0 , /n12 , 13
/samp2-seq 0 , /s4 , 0
/samp2-seq 0 , /n10 , 13
/samp2-seq 0 , /s6 , 0
/samp2-seq 0 , /n16 , 13
/samp2-seq 0 , /s8 , 96.7619
/samp2-seq 0 , /n14 , 13
/samp2-seq 0 , /s10 , 0
/fm1-adsr 0 , /a , 6.34921
/fm1-adsr 0 , /r , 28.2222
/fm1-adsr 0 , /s , 42.3333
/fm1-adsr 0 , /d , 56.4444
/samp3-seq 0 , /n3 , 13
/samp3-seq 0 , /s27 , 0
/samp3-seq 0 , /s26 , 0
/samp3-seq 0 , /n7 , 13
/samp3-seq 0 , /s25 , 0
/samp3-seq 0 , /n5 , 13
/samp3-seq 0 , /s24 , 88.6984
/samp3-seq 0 , /s23 , 0
/samp3-seq 0 , /s22 , 0
/samp3-seq 0 , /s21 , 0
/samp3-seq 0 , /n1 , 13
/samp3-seq 0 , /s20 , 0
/samp3-seq 0 , /s19 , 0
/samp3-seq 0 , /s18 , 0
/samp3-seq 0 , /s17 , 108.857
/samp3-seq 0 , /last , 31
/samp3-seq 0 , /s13 , 0
/samp3-seq 0 , /bpm , 12
/samp3-seq 0 , /n27 , 13
/samp3-seq 0 , /n25 , 13
/samp3-seq 0 , /n31 , 13
/samp3-seq 0 , /n29 , 13
/samp3-seq 0 , /n19 , 13
/samp3-seq 0 , /n17 , 13
/samp3-seq 0 , /s , 30
/samp3-seq 0 , /n23 , 13
/samp3-seq 0 , /s1 , 102.81
/samp3-seq 0 , /svol , 127
/samp3-seq 0 , /n21 , 13
/samp3-seq 0 , /s3 , 0
/samp3-seq 0 , /n11 , 13
/samp3-seq 0 , /s5 , 0
/samp3-seq 0 , /n9 , 13
/samp3-seq 0 , /s7 , 0
/samp3-seq 0 , /n15 , 13
/samp3-seq 0 , /s9 , 0
/samp3-seq 0 , /n13 , 13
/samp3-seq 0 , /s11 , 0
/samp3-seq 0 , /n4 , 13
/samp3-seq 0 , /n2 , 13
/samp3-seq 0 , /n8 , 13
/samp3-seq 0 , /n6 , 13
/samp3-seq 0 , /s16 , 0
/samp3-seq 0 , /transp , 0
/samp3-seq 0 , /resol , 2.23404
/samp3-seq 0 , /s12 , 94.746
/samp3-seq 0 , /s28 , 0
/samp3-seq 0 , /s14 , 110.873
/samp3-seq 0 , /s29 , 0
/samp3-seq 0 , /s30 , 0
/samp3-seq 0 , /s31 , 0
/samp3-seq 0 , /n28 , 13
/samp3-seq 0 , /s32 , 0
/samp3-seq 0 , /n26 , 13
/samp3-seq 0 , /n32 , 13
/samp3-seq 0 , /n30 , 13
/samp3-seq 0 , /n20 , 13
/samp3-seq 0 , /n18 , 13
/samp3-seq 0 , /s15 , 0
/samp3-seq 0 , /n24 , 13
/samp3-seq 0 , /n22 , 13
/samp3-seq 0 , /play , 1
/samp3-seq 0 , /s2 , 0
/samp3-seq 0 , /n12 , 13
/samp3-seq 0 , /s4 , 0
/samp3-seq 0 , /n10 , 13
/samp3-seq 0 , /s6 , 108.857
/samp3-seq 0 , /n16 , 13
/samp3-seq 0 , /s8 , 64.5079
/samp3-seq 0 , /n14 , 13
/samp3-seq 0 , /s10 , 0
/samp4-seq 0 , /n3 , 13
/samp4-seq 0 , /s27 , 0
/samp4-seq 0 , /s26 , 98.7778
/samp4-seq 0 , /n7 , 13
/samp4-seq 0 , /s25 , 0
/samp4-seq 0 , /n5 , 13
/samp4-seq 0 , /s24 , 26.2063
/samp4-seq 0 , /s23 , 64.5079
/samp4-seq 0 , /s22 , 0
/samp4-seq 0 , /s21 , 0
/samp4-seq 0 , /n1 , 13
/samp4-seq 0 , /s20 , 54.4286
/samp4-seq 0 , /s19 , 0
/samp4-seq 0 , /s18 , 0
/samp4-seq 0 , /s17 , 0
/samp4-seq 0 , /last , 31
/samp4-seq 0 , /s13 , 0
/samp4-seq 0 , /bpm , 12
/samp4-seq 0 , /n27 , 13
/samp4-seq 0 , /n25 , 13
/samp4-seq 0 , /n31 , 13
/samp4-seq 0 , /n29 , 13
/samp4-seq 0 , /n19 , 13
/samp4-seq 0 , /n17 , 13
/samp4-seq 0 , /s , 30
/samp4-seq 0 , /n23 , 13
/samp4-seq 0 , /s1 , 0
/samp4-seq 0 , /svol , 70.5556
/samp4-seq 0 , /n21 , 13
/samp4-seq 0 , /s3 , 0
/samp4-seq 0 , /n11 , 13
/samp4-seq 0 , /s5 , 0
/samp4-seq 0 , /n9 , 13
/samp4-seq 0 , /s7 , 88.6984
/samp4-seq 0 , /n15 , 13
/samp4-seq 0 , /s9 , 0
/samp4-seq 0 , /n13 , 13
/samp4-seq 0 , /s11 , 0
/samp4-seq 0 , /n4 , 13
/samp4-seq 0 , /n2 , 13
/samp4-seq 0 , /n8 , 13
/samp4-seq 0 , /n6 , 13
/samp4-seq 0 , /s16 , 0
/samp4-seq 0 , /transp , 0
/samp4-seq 0 , /resol , 2.34043
/samp4-seq 0 , /s12 , 0
/samp4-seq 0 , /s28 , 0
/samp4-seq 0 , /s14 , 0
/samp4-seq 0 , /s29 , 0
/samp4-seq 0 , /s30 , 24.1905
/samp4-seq 0 , /s31 , 10.0794
/samp4-seq 0 , /n28 , 13
/samp4-seq 0 , /s32 , 92.7302
/samp4-seq 0 , /n26 , 13
/samp4-seq 0 , /n32 , 13
/samp4-seq 0 , /n30 , 13
/samp4-seq 0 , /n20 , 13
/samp4-seq 0 , /n18 , 13
/samp4-seq 0 , /s15 , 106.841
/samp4-seq 0 , /n24 , 13
/samp4-seq 0 , /n22 , 13
/samp4-seq 0 , /play , 1
/samp4-seq 0 , /s2 , 0
/samp4-seq 0 , /n12 , 13
/samp4-seq 0 , /s4 , 0
/samp4-seq 0 , /n10 , 13
/samp4-seq 0 , /s6 , 0
/samp4-seq 0 , /n16 , 13
/samp4-seq 0 , /s8 , 0
/samp4-seq 0 , /n14 , 13
/samp4-seq 0 , /s10 , 0
/fm1 0 , /mod , 1
/fm1 0 , /index , 72.5714
/fm1 0 , /car , 5
/delay 0 , /bypass , 0
/delay 0 , /damp , 0.958571
/delay 0 , /lop , 11904.6
/delay 0 , /divider , 3
/samp4 0 , /rel , 200
/samp4 0 , /file , /home/freak/big/audio/loops/outflange.wav
/fm1-seq 0 , /n3 , 2
/fm1-seq 0 , /s27 , 0
/fm1-seq 0 , /s26 , 0
/fm1-seq 0 , /n7 , 5
/fm1-seq 0 , /s25 , 0
/fm1-seq 0 , /n5 , 7
/fm1-seq 0 , /s24 , 0
/fm1-seq 0 , /s23 , 0
/fm1-seq 0 , /s22 , 0
/fm1-seq 0 , /s21 , 0
/fm1-seq 0 , /n1 , -0
/fm1-seq 0 , /s20 , 0
/fm1-seq 0 , /s19 , 0
/fm1-seq 0 , /s18 , 0
/fm1-seq 0 , /s17 , 0
/fm1-seq 0 , /last , 15
/fm1-seq 0 , /s13 , 0
/fm1-seq 0 , /bpm , 12
/fm1-seq 0 , /n27 , 13
/fm1-seq 0 , /n25 , 13
/fm1-seq 0 , /oct , 3
/fm1-seq 0 , /n31 , 13
/fm1-seq 0 , /n29 , 13
/fm1-seq 0 , /n19 , 13
/fm1-seq 0 , /n17 , 13
/fm1-seq 0 , /s , 30
/fm1-seq 0 , /n23 , 13
/fm1-seq 0 , /s1 , 98.7778
/fm1-seq 0 , /svol , 66.5238
/fm1-seq 0 , /n21 , 13
/fm1-seq 0 , /s3 , 96.7619
/fm1-seq 0 , /n11 , 13
/fm1-seq 0 , /s5 , 104.825
/fm1-seq 0 , /n9 , 13
/fm1-seq 0 , /s7 , 42.3333
/fm1-seq 0 , /n15 , 4
/fm1-seq 0 , /s9 , 0
/fm1-seq 0 , /n13 , 4
/fm1-seq 0 , /s11 , 0
/fm1-seq 0 , /n4 , 4
/fm1-seq 0 , /n2 , 13
/fm1-seq 0 , /n8 , 7
/fm1-seq 0 , /n6 , 7
/fm1-seq 0 , /s16 , 0
/fm1-seq 0 , /transp , 0
/fm1-seq 0 , /resol , 2.44681
/fm1-seq 0 , /s12 , 94.746
/fm1-seq 0 , /s28 , 0
/fm1-seq 0 , /s14 , 66.5238
/fm1-seq 0 , /s29 , 0
/fm1-seq 0 , /s30 , 0
/fm1-seq 0 , /s31 , 0
/fm1-seq 0 , /n28 , 13
/fm1-seq 0 , /s32 , 0
/fm1-seq 0 , /n26 , 13
/fm1-seq 0 , /n32 , 13
/fm1-seq 0 , /n30 , 13
/fm1-seq 0 , /n20 , 13
/fm1-seq 0 , /n18 , 13
/fm1-seq 0 , /s15 , 86.6825
/fm1-seq 0 , /n24 , 13
/fm1-seq 0 , /n22 , 13
/fm1-seq 0 , /play , 1
/fm1-seq 0 , /s2 , 0
/fm1-seq 0 , /n12 , 4
/fm1-seq 0 , /s4 , 86.6825
/fm1-seq 0 , /n10 , 13
/fm1-seq 0 , /s6 , 0
/fm1-seq 0 , /n16 , 4
/fm1-seq 0 , /s8 , 98.7778
/fm1-seq 0 , /n14 , 2
/fm1-seq 0 , /s10 , 0
/mainseq 0 , /bpm , 120
/mainseq 0 , /play , 1
/samp1 0 , /rel , 0
/samp1 0 , /file , /dos/jama/fuji/audio/samples/LM-4/cr8000/crclave.wav
/samp1 0 , /att , 0
/an1 0 , /filt_freq , 3357
/an1 0 , /filt_Q , 0.9
/an1 0 , /olevel , 1
/an1 0 , /rel_time , 943
/an1 0 , /release , 96
/an1 0 , /from_freq , 54
/an1 0 , /to_freq , 60
/an1 0 , /filt , 2 1
/an1 0 , /detune , 29
/an1 0 , /att_time , 37
/an1 0 , /nlevel , 0.265823
/an1 0 , /freq_time , 37
/an1 0 , /attack , 37
/an1-sp 0 , /fade , 100
/an1-sp 0 , /s1 , 0
/an1-sp 0 , /s3 , 0
/an1-sp 0 , /s2 , 0
/an1-sp 0 , /s4 , 102.419
/an2 0 , /filt_freq , 5579
/an2 0 , /filt_Q , 0.96
/an2 0 , /olevel , 0
/an2 0 , /rel_time , 139
/an2 0 , /release , 35
/an2 0 , /from_freq , 16
/an2 0 , /to_freq , 119
/an2 0 , /filt , 0 1
/an2 0 , /detune , 13
/an2 0 , /att_time , 39
/an2 0 , /nlevel , 1
/an2 0 , /freq_time , 80
/an2 0 , /attack , 36
/fm1-index 0 , /a , 28.5714
/fm1-index 0 , /r , 50.3968
/fm1-index 0 , /s , 80.6349
/fm1-index 0 , /d , 34.2698
/samp3 0 , /file , /dos/ibm/hdc14/f/snd/drums/keys/dj_rabauke_kit/elektrik_snare2.wav
/samp2 0 , /file , /home/freak/big/audio/loops/doublecross_1st_choice.wav
/samp-sp 0 , /fade , 100
/samp-sp 0 , /s1 , 0
/samp-sp 0 , /s3 , 32.7742
/samp-sp 0 , /s2 , 40.9677
/samp-sp 0 , /s4 , 24.5806
/fm-sp 0 , /fade , 100
/fm-sp 0 , /s1 , 127
/fm-sp 0 , /s3 , 0
/fm-sp 0 , /s2 , 0
/fm-sp 0 , /s4 , 57.3548
