keyboard_fun I;
229.297 keyboard_fun o;
95.7823 keyboard_fun _;
2.90249 keyboard_fun s;
177.052 keyboard_fun a;
108.844 keyboard_fun y;
130.612 keyboard_fun :;
607.528 keyboard_fun _;
448.299 keyboard_fun g;
114.649 keyboard_fun o;
195.918 keyboard_fun o;
92.8798 keyboard_fun d;
507.528 keyboard_fun _;
262.676 keyboard_fun n;
245.125 keyboard_fun i;
229.161 keyboard_fun g;
207.392 keyboard_fun h;
262.54 keyboard_fun t;
233.651 keyboard_fun .;
